Aircraft,Ref_Area,Ref_Span,Ref_MAC,FlightProps_PDF_Page,Longitudinal_PDF_Page,LateralDirectional_PDF_Page,FlightCondition,Altitude,Mach,VTAS,Weight,CG,Ixx,Iyy,Izz,Ixz,Epsilon,Qinf,Alpha,Gamma,XU,ZU,MU,XW,ZW,MW,ZWD,ZQ,MWD,MQ,XDE,ZDE,MDE,XDTH,ZDTH,MDTH,YV,YB,LB,NB,LP,NP,LR,NR,YDA,LDA,NDA,YDR,LDR,NDR
,ft^2,ft,ft,,,,,ft,,ft/s,lb,Ref_MAC,slug*ft^2,slug*ft^2,slug*ft^2,slug*ft^2,deg,lb/ft^2,deg,deg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT-33A,234.8,37.54,6.72,28,29,33,1,0,0.204,228,11800,0.26,12700,20700,32001,480,-1.42,61.7,10,0,-0.0391,-0.248,0.000318,0.0815,-0.936,-0.00827,0,0,-0.00152,-0.694,0.516,-13.4,-4.19,0.00273,0,0,-0.125,-28.4,-5.49,667,-2.03,-0.116,0.641,-0.207,0,6.01,0.0286,0.0295,-0.0125,-1.24
NT-33A,234.8,37.54,6.72,28,29,33,2,0,0.242,270,13700,0.263,32801,21101,43802,480,-1.37,86.7,5.2,0,-0.00484,-0.153,0.000603,0.131,-0.991,0.00669,0,0,-0.00149,-0.806,1.47,-16.2,-5.83,0.00235,0,9.48E-07,-0.111,-30.1,-4.72,2940,-1.32,-0.112,0.305,-0.173,0,4.53,0.134,0.0301,0.443,-1.25
NT-33A,234.8,37.54,6.72,28,29,33,3,0,0.4,447,13700,0.263,23801,21101,43802,480,-1.37,237,0.9,0,-0.0104,-0.128,0.000283,0.0562,-1.73,-0.0206,0,0,-0.0014,-1.37,0.62,-44.4,-16,0.00235,0,9.48E-07,-0.181,-81,-8.02,2.71,-2.15,-0.0512,0.32,-0.291,0,12.6,0.165,0.0503,1.57,-3.5
NT-33A,234.8,37.54,6.72,28,29,33,4,0,0.7,782,13700,0.263,23801,21101,43802,480,-1.37,726,-0.9,0,-0.0415,-0.162,-0.00076,-0.0211,-3.55,-0.0431,0,0,0,-2.8,-2.65,-152,-52.7,0.00235,0,9.48E-07,-0.338,-264,-18,10.6,-4.51,0.0118,0.495,-0.561,0,47,0.26,0.102,5.89,-12.6
NT-33A,234.8,37.54,6.72,28,29,33,5,20000,0.3,311,13700,0.263,23801,21101,43802,480,-1.37,61.3,9.4,0,0.00477,-0.114,0.000114,0.0657,-0.451,-0.000728,0,0,-0.000785,-0.5,1.88,-11.3,-4.13,0.00235,0,9.48E-07,-0.0696,-21.6,-4.06,2540,-0.82,-0.103,0.214,-0.104,0,3.14,0.164,0.0185,0.287,-0.883
NT-33A,234.8,37.54,6.72,28,29,33,6,20000,0.55,570,13700,0.263,23801,21101,43802,480,-1.37,206,0.8,0,-0.00735,-0.107,-0.000183,0.0391,-1.25,-0.0157,0,0,-0.0005481,-0.981,0.5,-40.9,-14.2,0.00235,0,9.48E-07,-0.128,-72.7,-7.42,2.6,-1.56,-0.0383,0.256,-0.204,0,11.7,0.121,0.0363,1.39,-3.21
NT-33A,234.8,37.54,6.72,28,29,33,7,20000,0.75,778,13700,0.263,23801,21101,43802,480,-1.37,383,-0.3,0,-0.0511,-0.0703,-0.000151,0.00986,-1.8,-0.0239,0,0,-0.000207,-1.56,-0.432,-82.4,-28.7,0.00235,0,9.48E-07,-0.185,-144,-9.89,6.24,-2.23,-0.0141,0.328,-0.318,0,24,0.195,0.0571,3.2,-6.99
NT-33A,234.8,37.54,6.72,28,29,33,8,20000,0.65,629,13700,0.263,23801,21101,43802,480,-1.37,117,2.5,0,-0.00355,-0.0766,-0.000183,0.0391,-0.696,-0.00861,0,0,-8.87E-05,-0.535,0.996,-23.8,-8.28,0.00235,0,9.48E-07,-0.0674,-42.4,-5.08,1.68,-0.877,-0.0428,0.179,-0.11,0,7.13,0.118,0.0195,0.808,-1.92
